Entity	Value	Units	Source
Gasoline	7.60	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Butane	8.41	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Butane (commercial)	8.41	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Propane	10.10	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Propane (commercial)	9.50	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Acetylene 	81.00	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Ethane	12.50	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Mapp Gas	10.80	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Hydrogen 	74.20	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Natural Gas 	15.00	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Hydrogen Sulfide 	45.50	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Coke Oven Gas	34.00	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Town Gas (Brown Coal)	31.00	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Methane	15.00	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Methanol	36.00	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Carbon Monoxide	74.20	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Blast Furnace Gas	73.50	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
