"NAME","STATE_NAME","AREA","POP2000","Total"
"Kauai","Hawaii",627.305,58463,91042.4
"Honolulu","Hawaii",599.331,876156,140799
"Kalawao","Hawaii",13.1634,147,16.302
"Maui","Hawaii",1160.15,128094,341288
"Hawaii","Hawaii",4028.48,148677,29360.7
"Park","Wyoming",6968.31,25786,22456.3
"Big Horn","Wyoming",3158.94,11461,13838.1
"Sheridan","Wyoming",2527.03,26560,7259.14
"Campbell","Wyoming",4801.58,33698,4800.17
"Crook","Wyoming",2870.51,5887,21724.1
"Teton","Wyoming",4222.16,18251,10408.1
"Johnson","Wyoming",4174.66,7075,2741.2
"Weston","Wyoming",2400.06,6644,4143.71
"Washakie","Wyoming",2242.76,8289,13785.7
"Hot Springs","Wyoming",2006.25,4882,1005.57
"Fremont","Wyoming",9265.89,35804,8257.87
"Niobrara","Wyoming",2627.9,2407,1239.61
"Natrona","Wyoming",5375.73,66533,9048.08
"Converse","Wyoming",4265.12,12052,1572.9
"Sublette","Wyoming",4935.72,5920,1282.18
"Lincoln","Wyoming",4088.89,14573,8565.15
"Goshen","Wyoming",2232.16,12538,36965.7
"Platte","Wyoming",2110.91,8807,5519.35
"Carbon","Wyoming",7964.05,15639,7049.94
"Albany","Wyoming",4308.79,32014,263639
"Sweetwater","Wyoming",10491.2,37613,4623.56
"Laramie","Wyoming",2687.64,81607,39334.6
"Uinta","Wyoming",2087.57,19742,2429.22
"Hancock","West Virginia",88.347,32667,9842.91
"Brooke","West Virginia",92.2625,25447,14439.2
"Ohio","West Virginia",108.859,47427,20227.4
"Marshall","West Virginia",312.19,35519,22976.8
"Wetzel","West Virginia",361.375,17693,17515.7
"Monongalia","West Virginia",365.891,81866,40784.1
"Preston","West Virginia",651.39,29334,133691
"Morgan","West Virginia",229.668,14943,14796.3
"Mineral","West Virginia",329.131,27078,55952.9
"Marion","West Virginia",311.478,56598,33571.7
"Berkeley","West Virginia",321.578,75905,30657.9
"Tyler","West Virginia",260.693,9592,14416.4
"Hampshire","West Virginia",644.615,20203,38543.6
"Jefferson","West Virginia",211.565,42190,34582.1
"Pleasants","West Virginia",134.588,7514,16939.7
"Harrison","West Virginia",416.604,68652,37977.5
"Taylor","West Virginia",175.702,16089,18828.3
"Doddridge","West Virginia",320.485,7403,30041.5
"Wood","West Virginia",376.937,87986,35542.4
"Ritchie","West Virginia",453.579,10343,25613.8
"Grant","West Virginia",480.198,11299,23916.6
"Barbour","West Virginia",342.754,15557,40681.6
"Tucker","West Virginia",421.113,7321,19339.9
"Hardy","West Virginia",584.482,12669,29381.9
"Wirt","West Virginia",234.834,5873,10979.4
"Lewis","West Virginia",389.751,16919,23468.6
"Randolph","West Virginia",1039.93,28262,91737.6
"Upshur","West Virginia",354.861,23404,72309.4
"Gilmer","West Virginia",340.067,7160,23809.2
"Jackson","West Virginia",471.594,28000,28353.6
"Calhoun","West Virginia",280.63,7582,24637.9
"Mason","West Virginia",444.804,25957,35057.2
"Pendleton","West Virginia",698.158,8196,87832.2
"Roane","West Virginia",483.76,15446,16138.3
"Braxton","West Virginia",516.167,14702,75728.4
"Pocahontas","West Virginia",941.855,9131,59423.5
"Webster","West Virginia",556.138,9719,103997
"Putnam","West Virginia",350.394,51589,23083.3
"Clay","West Virginia",343.823,10330,48692.6
"Kanawha","West Virginia",910.992,200073,76691.5
"Cabell","West Virginia",288.024,96784,41465
"Nicholas","West Virginia",654.405,26562,202698
"Wayne","West Virginia",512.195,42903,29592.7
"Lincoln","West Virginia",438.592,22108,15194.4
"Greenbrier","West Virginia",1024.43,34453,145149
"Fayette","West Virginia",668.365,47579,95829.2
"Boone","West Virginia",503.189,25535,46115.1
"Logan","West Virginia",455.611,37710,67527
"Raleigh","West Virginia",609.341,79220,87708.6
"Mingo","West Virginia",423.64,28253,20214.9
"Summers","West Virginia",367.716,12999,18231.8
"Wyoming","West Virginia",501.819,25708,26080.8
"Monroe","West Virginia",473.663,14583,37216.7
"Mercer","West Virginia",420.687,62980,31395.6
"McDowell","West Virginia",534.904,27329,18070.4
"Bayfield","Wisconsin",1511.21,15013,114177
"Douglas","Wisconsin",1336.79,43287,80025.1
"Ashland","Wisconsin",999.018,16866,89737.4
"Iron","Wisconsin",802.696,6861,66404.6
"Vilas","Wisconsin",1017.84,21033,110647
"Washburn","Wisconsin",853.059,16036,98236.4
"Sawyer","Wisconsin",1350.32,16196,215346
"Burnett","Wisconsin",880.383,15674,54606.5
"Forest","Wisconsin",1046.4,10024,125590
"Florence","Wisconsin",497.466,5088,62738.1
"Price","Wisconsin",1278.42,15822,150668
"Oneida","Wisconsin",1235.9,36776,122456
"Marinette","Wisconsin",1429.59,43384,229755
"Polk","Wisconsin",956.383,41319,153350
"Barron","Wisconsin",890.019,44963,162505
"Rusk","Wisconsin",930.896,15347,81441
"Lincoln","Wisconsin",907.051,29641,142815
"Langlade","Wisconsin",887.877,20740,148711
"Taylor","Wisconsin",984.498,19680,79427.9
"Oconto","Wisconsin",1017.28,35634,129772
"Chippewa","Wisconsin",1041.32,55195,188292
"Door","Wisconsin",488.761,27961,72391.7
"St. Croix","Wisconsin",735.727,63155,255559
"Dunn","Wisconsin",863.916,39858,240626
"Marathon","Wisconsin",1576.15,125834,307714
"Menominee","Wisconsin",364.985,4562,68365.3
"Clark","Wisconsin",1219.07,33557,166411
"Shawano","Wisconsin",909.332,40664,166399
"Pierce","Wisconsin",591.654,36804,237921
"Eau Claire","Wisconsin",645.29,93142,187563
"Portage","Wisconsin",822.756,67182,119032
"Wood","Wisconsin",809.468,75555,419013
"Pepin","Wisconsin",248.683,7213,78851.2
"Waupaca","Wisconsin",765.33,51731,128777
"Brown","Wisconsin",534.21,226778,130389
"Kewaunee","Wisconsin",344.1,20187,91543.2
"Trempealeau","Wisconsin",741.985,27010,329936
"Jackson","Wisconsin",1000.11,19100,166893
"Buffalo","Wisconsin",709.584,13804,195147
"Outagamie","Wisconsin",644.397,160971,265780
"Manitowoc","Wisconsin",595.59,82887,141658
"Juneau","Wisconsin",804.162,24316,149219
"Adams","Wisconsin",688.493,18643,104885
"Waushara","Wisconsin",637.406,23154,93739.3
"Calumet","Wisconsin",397.044,40631,71168.9
"Winnebago","Wisconsin",578.689,156763,154461
"Monroe","Wisconsin",908.292,40899,202797
"La Crosse","Wisconsin",479.918,107120,118933
"Green Lake","Wisconsin",380.482,19105,105540
