Units	Factor	Factor	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	kJ/g	kJ/g	Text
Class	Material	Entity	Fixed Carbon	Volatiles	Ash	C	H	O	N	S	Cl	HHV_meas	HHV_calc	Source
Agricultural	Stick	Mulberry Stick	22.8	75.1	2.1	44.23	6.61	46.25	0.45	NA	NA	18.356	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Stalk	Eucalyptus stalk	12.2	87.3	0.5	NA	NA	NA	NA	NA	NA	19.097	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Stalk	Musturd Stalk (A)	21.9	60.9	17.2	NA	NA	NA	NA	NA	NA	17.489	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Stalk	Cotton Stalk	17.3	65.4	17.3	39.47	5.07	39.14	12	0.02	NA	15.83	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Stalk	Coconut Stem	23.1	74.5	2.5	NA	NA	NA	NA	NA	NA	19.436	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Straw	Wheat Straw	11.7	80.6	7.7	NA	NA	NA	NA	NA	NA	17.355	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Straw	Wheat Straw	24	69.6	6.4	NA	NA	NA	NA	NA	NA	18.905	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Straw	Rice Straw (ground)	16.2	68.3	15.5	NA	NA	NA	NA	NA	NA	15.614	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Straw	Paddy Straw	11.8	72.7	15.5	35.97	5.28	43.08	0.17	NA	NA	14.522	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Straw	Wheat Straw	23.5	63	13.5	45.5	5.1	34.1	1.8	NA	NA	17	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	"Hulls,Skins,Chaff"	Tapero root skin scale scrapping	11.4	35.1	39.2	NA	NA	NA	NA	NA	NA	9.228	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	"Hulls,Skins,Chaff"	Coffee chaff	19.6	75.8	4.6	NA	NA	NA	NA	NA	NA	17.686	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Stick	Wood Chips	15.4	83.4	1.2	NA	NA	NA	NA	NA	NA	20.031	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Stick	Olive twigs	10.73	88.25	1.02	NA	NA	NA	NA	NA	NA	18.699	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Stick	Walnut	20.8	78.5	0.7	48.2	6.25	43.24	1.61	NA	NA	19.967	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Stick	Cabernet Sauvignon	19.2	78.63	2.17	46.59	5.85	43.9	1.61	0.04	NA	19.03	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Stick	Almond	21.54	76.83	1.63	51.3	5.29	40.9	0.66	0.01	NA	20.01	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Stick	Eucalyptus bark	15.3	65.7	19	NA	NA	NA	NA	NA	NA	15.195	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
