Units		Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	BTU/lb	BTU/lb	
Method		ASTM E-1690-95	ASTM E-1755-95	ASTM E-1721-95 and T-250	ASTM E-1721-95 and LAP-004	ASTM E-1721-95	LAP-004	LAP-017	Scott 1979	ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95		ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95	LAP-016	By Summation	ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95		ASTM E-1755-95	Huffman 1	Huffman 1	AST D-537	By Difference	ASTM D-4239	ASTM E-1755-95	ASTM D-3172	ASTM D-3175	ASTM E-1755-95	ASTM D-2015 moisture free	ASTM D-2015 moisture free	
Samples	Variety	Extractives	Ash	Total Lignin	Total Lignin	Acid-Insoluble Lignin	Acid Soluble Lignin	Acetic acid	Uronic acids	Arabinan	Xylan	Mannan	Galactan	Glucan	Starch	Mass Closure	Cellulose	Hemicellulose [ASTM E-1821-96 or E-1758-95 %m]	Total Lignin	Ash	C	H	N	O	S	Ash	Fixed Carbon	Volatile Matter	Ash	HHV	LHV	Source
Hybrid Poplar	DN-34	6.89	2.03	25.18	NA	NA	NA	NA	4.31	0.89	13.07	1.81	0.88	39.23	NA	94.3	39.23	16.66	25.18	2.03	49.75	5.52	0.52	42.42	0.03	2.03	19.96	78.7	2.03	8384	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Black Locust	Robinia pseudoacacia	3.87	2.08	28.55	NA	NA	NA	NA	3.89	0.74	14	2.07	0.77	40.38	NA	96.36	40.38	17.58	28.55	2.08	50.36	5.71	0.54	40.62	0.03	2.08	21.1	77.71	2.08	8418	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Black Locust	Robinia pseudoacacia	4.21	1.64	28.1	NA	NA	NA	NA	5.04	0.85	14.7	2.09	0.84	40	NA	97.49	40	18.49	28.1	1.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Black Locust	Robinia pseudoacacia	4.59	1.61	23.87	NA	NA	NA	NA	3.26	0.82	15.02	1.62	0.94	42.62	NA	94.35	42.62	18.4	23.87	1.61	49.48	5.95	0.46	40.64	0.03	1.61	19.46	79.72	1.61	8409	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Black Locust	Robinia pseudoacacia	4.81	1.53	24.4	NA	NA	NA	NA	5.12	0.79	15.59	1.61	0.87	41.45	NA	96.18	41.45	18.86	24.4	1.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Black Locust	Robinia pseudoacacia	6.13	1.77	25.18	NA	NA	NA	NA	3.92	0.95	13.2	1.5	0.99	39.26	NA	92.89	39.26	16.64	25.18	1.77	49.71	5.8	0.71	41.53	0.07	1.77	20.38	78.36	1.77	8474	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Black Locust	Robinia pseudoacacia	5.32	1.05	26.62	NA	NA	NA	NA	4.03	0.94	14.75	1.55	0.99	39.79	NA	95.05	39.79	18.24	26.62	1.05	50.61	6.06	0.47	41.61	0.03	1.05	20.36	78.65	1.05	8582	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Black Locust	Robinia pseudoacacia	3.78	1.19	26.47	NA	NA	NA	NA	4.04	0.81	15.14	1.45	1.01	42.09	NA	95.98	42.09	18.41	26.47	1.19	50.01	6.2	0.51	41.13	0.03	1.19	19.62	79.29	1.19	8480	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
