Lambda	CH4	CO	CO2	H2	H2O	N2
0	0.04981	NA	NA	NA	0.15038	NA
0.05	0.02875	0.23338	0.10368	0.38394	0.09250	0.16038
0.1	0.01525	0.27113	0.07931	0.33200	0.05506	0.23644
0.15	0.00919	0.29950	0.05944	0.29338	0.03413	0.29881
0.2	0.00711	0.31813	0.04775	0.26088	0.02338	0.34706
0.25	0.00060	0.32250	0.03975	0.23419	0.02200	0.38781
0.3	NA	0.30200	0.04050	0.20118	0.03656	0.42329
0.35	NA	0.27563	0.04638	0.16650	0.05769	0.45688
0.4	NA	0.24950	0.05400	0.13500	0.07788	0.48850
0.45	NA	0.22375	0.06225	0.10613	0.09600	0.51888
0.5	NA	0.19800	0.07225	0.08400	0.10925	0.54400
0.55	NA	0.17331	0.08063	0.06438	0.11894	0.56688
0.6	NA	0.14950	0.09081	0.04806	0.12550	0.58731
0.65	NA	0.12663	0.10025	0.03506	0.12788	0.60788
0.7	NA	0.10788	0.11256	0.02469	0.13200	0.62463
0.75	NA	0.08813	0.12594	0.01744	0.13200	0.64025
0.8	NA	0.06938	0.13731	0.01143	0.13200	0.65475
0.85	NA	0.05100	0.14650	0.00653	0.13000	0.66544
0.9	NA	0.03488	0.15200	0.00333	0.12656	0.67565
0.95	NA	0.02300	0.15775	0.00200	0.12244	0.68500
1	NA	0.01238	0.15913	0.00100	0.12000	0.69613
1.05	NA	0.00400	0.15900	0.00275	0.11619	NA
1.1	NA	-0.00200	NA	0.00023	NA	NA
1.15	NA	-0.00281	NA	0.00023	NA	NA
1.2	NA	NA	NA	NA	NA	NA
