Entity	Value	Units	Source	Notes
1/8 NPT	0.405	inch	McMaster-Carr	
1/4 NPT	0.54	inch	McMaster-Carr	
3/8 NPT	0.675	inch	McMaster-Carr	
1/2 NPT	0.84	inch	McMaster-Carr	
3/4 NPT	1.05	inch	McMaster-Carr	
1 NPT	1.315	inch	McMaster-Carr	
1 1/2 NPT	1.9	inch	McMaster-Carr	
2 NPT	2.375	inch	McMaster-Carr	
1/8 NPT	0.010287	m	McMaster-Carr	converted
1/4 NPT	0.013716	m	McMaster-Carr	converted
3/8 NPT	0.017145	m	McMaster-Carr	converted
1/2 NPT	0.021336	m	McMaster-Carr	converted
3/4 NPT	0.02667	m	McMaster-Carr	converted
1 NPT	0.033401	m	McMaster-Carr	converted
1 1/2 NPT	0.04826	m	McMaster-Carr	converted
2 NPT	0.060325	m	McMaster-Carr	converted
