Entity	Finish	Value	Source
Aluminum	highly polished and degreased	0.027	http://www.molalla.net/~leeper/coatbar.htm
Aluminum	(6061-T6) highly polished	0.031	http://www.molalla.net/~leeper/coatbar.htm
Aluminum	highly polished	0.039	http://www.molalla.net/~leeper/coatbar.htm
Aluminum	semi-polished	0.05	http://www.molalla.net/~leeper/coatbar.htm
Aluminum	rough surface	0.07	http://www.molalla.net/~leeper/coatbar.htm
Aluminum	sand blasted	0.21	http://www.molalla.net/~leeper/coatbar.htm
Aluminum	anodized	0.776	http://www.molalla.net/~leeper/coatbar.htm
Aluminum	hard anodize	0.835 to 0.856	http://www.molalla.net/~leeper/coatbar.htm
Brass	highly polished	0.03	http://www.molalla.net/~leeper/coatbar.htm
Brass	polished	0.1	http://www.molalla.net/~leeper/coatbar.htm
Brass	rubbed with 80-grit emery	0.2	http://www.molalla.net/~leeper/coatbar.htm
Brass	dull and tarnished	0.22	http://www.molalla.net/~leeper/coatbar.htm
Brass	oxidized	0.61	http://www.molalla.net/~leeper/coatbar.htm
Bronze	polished	0.1	http://www.molalla.net/~leeper/coatbar.htm
Bronze	porous + rough	0.55	http://www.molalla.net/~leeper/coatbar.htm
Cadmium	polished	0.02	http://www.molalla.net/~leeper/coatbar.htm
Chrome	polished	0.09 to 0.10	http://www.molalla.net/~leeper/coatbar.htm
Chrome	black	0.62	http://www.molalla.net/~leeper/coatbar.htm
Copper	highly mirror polished	0.008	http://www.molalla.net/~leeper/coatbar.htm
Copper	polished	0.05	http://www.molalla.net/~leeper/coatbar.htm
Copper	burnished	0.07	http://www.molalla.net/~leeper/coatbar.htm
Copper	oxidized	0.65	http://www.molalla.net/~leeper/coatbar.htm
Copper	heavily oxidized	0.78	http://www.molalla.net/~leeper/coatbar.htm
Copper	oxidized to black	0.88	http://www.molalla.net/~leeper/coatbar.htm
Gold	highly polished	0.02	http://www.molalla.net/~leeper/coatbar.htm
Iron	"shiny,  etched"	0.16	http://www.molalla.net/~leeper/coatbar.htm
Iron	"cast, polished"	0.21	http://www.molalla.net/~leeper/coatbar.htm
Iron	"cast, oxidized"	0.64	http://www.molalla.net/~leeper/coatbar.htm
Lead	shiny	0.08	http://www.molalla.net/~leeper/coatbar.htm
Lead	gray	0.28	http://www.molalla.net/~leeper/coatbar.htm
Lead	oxidized	0.63	http://www.molalla.net/~leeper/coatbar.htm
Lead	red oxide powder	0.93	http://www.molalla.net/~leeper/coatbar.htm
Nichrome	clean	0.65	http://www.molalla.net/~leeper/coatbar.htm
Nichrome	oxidized	0.60 Ð 0.85	http://www.molalla.net/~leeper/coatbar.htm
Nickel	polished	0.05	http://www.molalla.net/~leeper/coatbar.htm
Nickel	no polish	0.11	http://www.molalla.net/~leeper/coatbar.htm
Nickel	oxidized	0.37	http://www.molalla.net/~leeper/coatbar.htm
Nickel	black	0.66	http://www.molalla.net/~leeper/coatbar.htm
Platinum	shinny	0.05	http://www.molalla.net/~leeper/coatbar.htm
Platinum	black	0.93	http://www.molalla.net/~leeper/coatbar.htm
Rhodium	polished	0.03	http://www.molalla.net/~leeper/coatbar.htm
"Rhodium Flash (0.0002"" over 0.0005"" Ni)"		0.10 to 0.18	http://www.molalla.net/~leeper/coatbar.htm
Silver	"high end observatory telescope mirror type finish, fresh"	0.01	http://www.molalla.net/~leeper/coatbar.htm
Silver	highly polished	0.02 to 0.03	http://www.molalla.net/~leeper/coatbar.htm
Silver	polished	0.08	http://www.molalla.net/~leeper/coatbar.htm
Stainless Steel	buffed	0.16	http://www.molalla.net/~leeper/coatbar.htm
Stainless Steel	sandblasted	0.44	http://www.molalla.net/~leeper/coatbar.htm
Stainless Steel	oxidized at 800¡C	0.85	http://www.molalla.net/~leeper/coatbar.htm
Steel	polished	0.07	http://www.molalla.net/~leeper/coatbar.htm
Steel	fresh rolled	0.24	http://www.molalla.net/~leeper/coatbar.htm
Steel	red rust	0.69	http://www.molalla.net/~leeper/coatbar.htm
Steel	oxidized	0.79	http://www.molalla.net/~leeper/coatbar.htm
Steel	rough surface	0.96	http://www.molalla.net/~leeper/coatbar.htm
Silicon Carbide		0.80 to 0.95	http://www.molalla.net/~leeper/coatbar.htm
Titanium	high polish	0.04	http://www.molalla.net/~leeper/coatbar.htm
Titanium Alloy C110M	polished	0.08 to 0.19	http://www.molalla.net/~leeper/coatbar.htm
Titanium Alloy C110M	oxidized at 1000F	0.51 to 0.61	http://www.molalla.net/~leeper/coatbar.htm
Titanium(6AL-4V) bar	as received (oxidized)	0.472	http://www.molalla.net/~leeper/coatbar.htm
Titanium(6AL-4V) bar	"polished, not brilliant"	0.1	http://www.molalla.net/~leeper/coatbar.htm
Zinc	highly polished	0.02	http://www.molalla.net/~leeper/coatbar.htm
Zinc	lightly oxidized	0.11	http://www.molalla.net/~leeper/coatbar.htm
Lampblack		0.95	http://www.molalla.net/~leeper/coatbar.htm
