Entity	Value	Units	Phase	Notes	Source
Benzene	11.61	kWh/kg	Gas		http://www.woodgas.com/proximat.htm
Natural gas	14.89	kWh/kg	Gas	(burned in air)	http://en.wikipedia.org/wiki/Energy_density
Methane	15.44	kWh/kg	Gas	"(1.013bar, 15¡C) (burned in air)"	http://en.wikipedia.org/wiki/Energy_density
"Hydrogen, compressed at 700 bar"	39.72	kWh/kg	Gas		http://en.wikipedia.org/wiki/Energy_density
Hydrogen	39.72	kWh/kg	Gas	burned in air	http://en.wikipedia.org/wiki/Energy_density (http://www.gov.pe.ca/photos/original/dev_solutions.pdf)
Water at 100 m dam height	0	kWh/kg	Liquid		http://en.wikipedia.org/wiki/Energy_density
Methanol	5.47	kWh/kg	Liquid		http://en.wikipedia.org/wiki/Energy_density
Methanol	6.3	kWh/kg	Liquid		http://www.woodgas.com/proximat.htm
Ethanol	7.42	kWh/kg	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Ethanol	8.33	kWh/kg	Liquid		http://en.wikipedia.org/wiki/Energy_density
Ethanol	8.38	kWh/kg	Liquid		http://www.woodgas.com/proximat.htm
LBL Wood Oil	9.36	kWh/kg	Liquid		http://www.woodgas.com/proximat.htm
BOM Wood Oil	10.22	kWh/kg	Liquid		http://www.woodgas.com/proximat.htm
Biodiesel	10.5	kWh/kg	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Coke-oven Tar	10.61	kWh/kg	Liquid		http://www.woodgas.com/proximat.htm
Low Temp Tar	10.76	kWh/kg	Liquid		http://www.woodgas.com/proximat.htm
Diesel	11.89	kWh/kg	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Oil	12.08	kWh/kg	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Kerosene	12.92	kWh/kg	Liquid		http://www.woodgas.com/proximat.htm
Motor Gasoline	13.02	kWh/kg	Liquid		http://www.woodgas.com/proximat.htm
Gasoline	13.14	kWh/kg	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
n-octane	13.28	kWh/kg	Liquid		http://www.woodgas.com/proximat.htm
"Brown Kelp,Giant, Soquel Point"	2.99	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
"Agricultural Residues, Various Moisture"	3.75	kWh/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Water Hyacinth (Florida)	4.13	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Rice Hulls	4.14	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
"Wood, Air Dry, 20% Moisture"	4.17	kWh/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Dry cowdung and cameldung	4.31	kWh/kg	Solid		http://en.wikipedia.org/wiki/Energy_density (http://home.hccnet.nl/david.dirkse/math/energy.html)
Cotton Gin Trash	4.56	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
MSW	4.583333333	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
"Coal, lignite/sub-bituminous"	4.72	kWh/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Sugarcane Bagasse	4.81	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Sudan Grass	4.83	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Wheat Straw	4.861111111	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Wheat Straw	4.86	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Corn Stover	4.9	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
RDF	4.916666667	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Corrugated Paper	4.972222222	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Corn Stover	5.013888889	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
"Hulls, Shells, Prunings"	5.041666667	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Cotton Stalk	5.07	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Sugarcane Bagasse	5.097222222	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Other Grasses	5.111111111	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Switchgrass	5.152777778	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Casuarina	5.21	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Corncobs	5.21	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Miscanthus	5.236111111	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Plywood	5.27	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Willow	5.319444444	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Mango Wood	5.33	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Red Alder	5.36	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Hybrid Poplar	5.375	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Poplar	5.38	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Bamboo	5.388888889	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
White Oak	5.39	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Eucalyptus Camaldulensis	5.39	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Eucalyptus	5.402777778	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Madrone	5.42	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Hardwood Wood	5.458333333	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Black Locust	5.472222222	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Black Locust	5.48	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Black Walnut Prunings	5.51	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Softwood Wood	5.513888889	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
White Fir	5.54	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Maple	5.54	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
"Wood Pellets, 0% MC"	5.56	kWh/kg	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Softwood Chips, 0% MC"	5.56	kWh/kg	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Wood, Bone Dry"	5.56	kWh/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Almond Prunings	5.56	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Ponderosa Pine	5.56	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
