Entity	Value	Units	Source
Gasoline	1.40	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Butane	1.86	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Butane (commercial)	1.86	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Propane	2.10	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Propane (commercial)	2.37	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Acetylene 	2.50	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Ethane	3.00	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Mapp Gas	3.40	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Hydrogen 	4.00	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Natural Gas 	4.30	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Hydrogen Sulfide 	4.30	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Coke Oven Gas	4.40	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Town Gas (Brown Coal)	4.80	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Methane	5.00	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Methanol	6.70	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Carbon Monoxide	12.50	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
Blast Furnace Gas	35.00	%	http://gekgasifier.pbwiki.com/Combustion-Characteristics-of-Common-Fuels
