Entity	Value	Units	Source
Hydrogen 	2.016	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Methane	16.044	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Ammonia 	17.02	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Water Vapor	18.02	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Natural Gas 	19.5	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Acetylene 	26.04	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Carbon Monoxide	28.011	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Nitrogen 	28.0134	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Air 	28.966	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Nitric Oxide	30.006	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Ethane	30.07	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Oxygen	31.9988	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Hydrogen Sulfide 	34.076	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Hydrogen Chloride 	36.461	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Argon	39.948	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Carbon Dioxide 	44.01	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Nitrous Oxide 	44.012	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Propane	44.097	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Nitrogen Dioxide	46.006	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Ozone 	47.998	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Butane	58.12	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Nitrogen Trioxide	62.005	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Sulfur Dioxide	64.06	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
Benzene 	78.11	molecular weight	http://www.engineeringtoolbox.com/gas-density-d_158.html
