Entity	Value	Units	Source	RPM
Kubota DG972	11.043	HP	WSM WG DF DG972.pdf	2018.47
Kubota DG972	11.402	HP	WSM WG DF DG972.pdf	2045.45
Kubota DG972	11.756	HP	WSM WG DF DG972.pdf	2074.989
Kubota DG972	12.152	HP	WSM WG DF DG972.pdf	2101.415
Kubota DG972	12.551	HP	WSM WG DF DG972.pdf	2137.427
Kubota DG972	12.934	HP	WSM WG DF DG972.pdf	2170.371
Kubota DG972	13.278	HP	WSM WG DF DG972.pdf	2203.603
Kubota DG972	13.613	HP	WSM WG DF DG972.pdf	2236.353
Kubota DG972	13.95	HP	WSM WG DF DG972.pdf	2274.054
Kubota DG972	14.362	HP	WSM WG DF DG972.pdf	2317.32
Kubota DG972	14.726	HP	WSM WG DF DG972.pdf	2362.221
Kubota DG972	15.014	HP	WSM WG DF DG972.pdf	2400.595
Kubota DG972	15.365	HP	WSM WG DF DG972.pdf	2437.714
Kubota DG972	15.723	HP	WSM WG DF DG972.pdf	2484.474
Kubota DG972	16.042	HP	WSM WG DF DG972.pdf	2528.009
Kubota DG972	16.353	HP	WSM WG DF DG972.pdf	2572.538
Kubota DG972	16.656	HP	WSM WG DF DG972.pdf	2617.208
Kubota DG972	16.975	HP	WSM WG DF DG972.pdf	2659.417
Kubota DG972	17.272	HP	WSM WG DF DG972.pdf	2714.791
Kubota DG972	17.581	HP	WSM WG DF DG972.pdf	2768.874
Kubota DG972	17.865	HP	WSM WG DF DG972.pdf	2823.458
Kubota DG972	18.11	HP	WSM WG DF DG972.pdf	2872.336
Kubota DG972	18.306	HP	WSM WG DF DG972.pdf	2923.458
Kubota DG972	18.561	HP	WSM WG DF DG972.pdf	2987.703
Kubota DG972	18.737	HP	WSM WG DF DG972.pdf	3045.68
Kubota DG972	18.9	HP	WSM WG DF DG972.pdf	3101.235
Kubota DG972	19.097	HP	WSM WG DF DG972.pdf	3167.902
Kubota DG972	19.251	HP	WSM WG DF DG972.pdf	3244.779
Kubota DG972	19.324	HP	WSM WG DF DG972.pdf	3301.235
Kubota DG972	19.404	HP	WSM WG DF DG972.pdf	3356.791
Kubota DG972	19.409	HP	WSM WG DF DG972.pdf	3423.458
Kubota DG972	19.472	HP	WSM WG DF DG972.pdf	3479.013
Kubota DG972	19.472	HP	WSM WG DF DG972.pdf	3540.124
Kubota DG972	19.461	HP	WSM WG DF DG972.pdf	3598.75
