Entity	Value	Units	Source	RPM
Kubota DG972	38.23652681	N-m	WSM WG DF DG972.pdf	2000
Kubota DG972	39.284	N-m	WSM WG DF DG972.pdf	2050
Kubota DG972	40.33147319	N-m	WSM WG DF DG972.pdf	2100
Kubota DG972	41.52050766	N-m	WSM WG DF DG972.pdf	2150
Kubota DG972	42.4796492	N-m	WSM WG DF DG972.pdf	2200
Kubota DG972	43.15517345	N-m	WSM WG DF DG972.pdf	2250
Kubota DG972	43.90848098	N-m	WSM WG DF DG972.pdf	2300
Kubota DG972	44.39949321	N-m	WSM WG DF DG972.pdf	2350
Kubota DG972	44.91049176	N-m	WSM WG DF DG972.pdf	2400
Kubota DG972	45.19304513	N-m	WSM WG DF DG972.pdf	2450
Kubota DG972	45.18173788	N-m	WSM WG DF DG972.pdf	2500
Kubota DG972	45.17823661	N-m	WSM WG DF DG972.pdf	2550
Kubota DG972	45.0072349	N-m	WSM WG DF DG972.pdf	2600
Kubota DG972	45.02969112	N-m	WSM WG DF DG972.pdf	2650
Kubota DG972	44.88948079	N-m	WSM WG DF DG972.pdf	2700
Kubota DG972	44.65257335	N-m	WSM WG DF DG972.pdf	2750
Kubota DG972	44.50974613	N-m	WSM WG DF DG972.pdf	2800
Kubota DG972	44.32570948	N-m	WSM WG DF DG972.pdf	2850
Kubota DG972	44.06020682	N-m	WSM WG DF DG972.pdf	2900
Kubota DG972	43.83462132	N-m	WSM WG DF DG972.pdf	2950
Kubota DG972	43.66157327	N-m	WSM WG DF DG972.pdf	3000
Kubota DG972	43.38265152	N-m	WSM WG DF DG972.pdf	3050
Kubota DG972	43.06098695	N-m	WSM WG DF DG972.pdf	3100
Kubota DG972	42.87369139	N-m	WSM WG DF DG972.pdf	3150
Kubota DG972	42.55473468	N-m	WSM WG DF DG972.pdf	3200
Kubota DG972	42.30123595	N-m	WSM WG DF DG972.pdf	3250
Kubota DG972	41.81573776	N-m	WSM WG DF DG972.pdf	3300
Kubota DG972	41.21662765	N-m	WSM WG DF DG972.pdf	3350
Kubota DG972	40.56427983	N-m	WSM WG DF DG972.pdf	3400
Kubota DG972	39.85186464	N-m	WSM WG DF DG972.pdf	3450
Kubota DG972	39.41032029	N-m	WSM WG DF DG972.pdf	3500
Kubota DG972	38.83938522	N-m	WSM WG DF DG972.pdf	3550
Kubota DG972	38.21	N-m	WSM WG DF DG972.pdf	3600
