Entity	Value	Units	Source	RPM
Kubota DG972	0.378788	kg/kWh	WSM WG DF DG972.pdf	2000
Kubota DG972	0.370014339	kg/kWh	WSM WG DF DG972.pdf	2050
Kubota DG972	0.359212041	kg/kWh	WSM WG DF DG972.pdf	2100
Kubota DG972	0.349755098	kg/kWh	WSM WG DF DG972.pdf	2150
Kubota DG972	0.340049957	kg/kWh	WSM WG DF DG972.pdf	2200
Kubota DG972	0.330023481	kg/kWh	WSM WG DF DG972.pdf	2250
Kubota DG972	0.3211304	kg/kWh	WSM WG DF DG972.pdf	2300
Kubota DG972	0.313567229	kg/kWh	WSM WG DF DG972.pdf	2350
Kubota DG972	0.308231221	kg/kWh	WSM WG DF DG972.pdf	2400
Kubota DG972	0.305156396	kg/kWh	WSM WG DF DG972.pdf	2450
Kubota DG972	0.304200058	kg/kWh	WSM WG DF DG972.pdf	2500
Kubota DG972	0.302708596	kg/kWh	WSM WG DF DG972.pdf	2550
Kubota DG972	0.298121411	kg/kWh	WSM WG DF DG972.pdf	2600
Kubota DG972	0.296357585	kg/kWh	WSM WG DF DG972.pdf	2650
Kubota DG972	0.29710649	kg/kWh	WSM WG DF DG972.pdf	2700
Kubota DG972	0.297892029	kg/kWh	WSM WG DF DG972.pdf	2750
Kubota DG972	0.2978543	kg/kWh	WSM WG DF DG972.pdf	2800
Kubota DG972	0.299104517	kg/kWh	WSM WG DF DG972.pdf	2850
Kubota DG972	0.300072777	kg/kWh	WSM WG DF DG972.pdf	2900
Kubota DG972	0.299083826	kg/kWh	WSM WG DF DG972.pdf	2950
Kubota DG972	0.296382155	kg/kWh	WSM WG DF DG972.pdf	3000
Kubota DG972	0.294164666	kg/kWh	WSM WG DF DG972.pdf	3050
Kubota DG972	0.293913717	kg/kWh	WSM WG DF DG972.pdf	3100
Kubota DG972	0.293847199	kg/kWh	WSM WG DF DG972.pdf	3150
Kubota DG972	0.293909709	kg/kWh	WSM WG DF DG972.pdf	3200
Kubota DG972	0.293835728	kg/kWh	WSM WG DF DG972.pdf	3250
Kubota DG972	0.292358868	kg/kWh	WSM WG DF DG972.pdf	3300
Kubota DG972	0.290915993	kg/kWh	WSM WG DF DG972.pdf	3350
Kubota DG972	0.292700107	kg/kWh	WSM WG DF DG972.pdf	3400
Kubota DG972	0.288848969	kg/kWh	WSM WG DF DG972.pdf	3450
Kubota DG972	0.293598519	kg/kWh	WSM WG DF DG972.pdf	3500
Kubota DG972	0.290526748	kg/kWh	WSM WG DF DG972.pdf	3550
Kubota DG972	0.287928	kg/kWh	WSM WG DF DG972.pdf	3600
