Entity	Value	Units	Type	Source	Temperature
Acetone 	0.160	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Acrylic 	0.200	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Air (gas) 	0.024	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Alcohol 	0.170	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Aluminum 	250.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Aluminum 	250.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	225
Aluminum 	255.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	125
Aluminum Oxide 	30.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Ammonia (gas) 	0.022	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Antimony 	18.500	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Argon (gas) 	0.016	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Asbestos mill board 	0.140	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Asbestos, loosely packed "	0.150	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Asbestos-cement 	2.070	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Asbestos-cement board 	0.744	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Asbestos-cement sheets 	0.166	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Asphalt 	0.750	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Balsa 	0.048	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Benzene 	0.160	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Beryllium 	218.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Bitumen 	0.170	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Brass 	109.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Brick dense 	1.310	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Brick work 	0.690	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Cadmium 	92.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Carbon 	1.700	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Carbon dioxide (gas) 	0.015	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Carbon Steel 	47.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	225
Carbon Steel 	51.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	125
Carbon Steel 	54.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Cement, mortar "	1.730	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Cement, portland "	0.290	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Chalk 	0.090	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Chrome Nickel Steel (18% Cr, 8 % Ni) "	16.300	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
